"","date","RAAPL","RM.RF","SMB","HML","RF","RAAPL.RF"
"142",1981-07-24,0.0317465907927295,0.8,-0.33,0.03,0.056,-0.0242534092072705
"143",1981-07-27,0.0408193811869914,0.81,-0.34,-0.4,0.056,-0.0151806188130086
"144",1981-07-28,-0.0356249028241738,-0.51,0.28,0.26,0.056,-0.0916249028241738
"145",1981-07-29,-0.0156650905119682,-0.03,-0.05,0.33,0.056,-0.0716650905119682
"146",1981-07-30,0.0361773106537639,0.57,-0.07,-0.43,0.056,-0.0198226893462361
"147",1981-07-31,0.0151126826823782,0.77,-0.21,-0.34,0.056,-0.0408873173176218
"148",1981-08-03,-0.0100497023175376,-0.34,-0.12,0.1,0.061,-0.0710497023175376
"149",1981-08-04,0.0150369317883276,0.42,-0.51,-0.48,0.061,-0.0459630682116724
"150",1981-08-05,0.0294120762753947,1.05,-0.59,-0.28,0.061,-0.0315879237246053
"151",1981-08-06,-0.0244495958841034,0.1,0.14,0.1,0.061,-0.0854495958841034
"152",1981-08-07,0,-0.45,0.18,0.25,0.061,-0.061
"153",1981-08-10,0,0.34,-0.72,0.05,0.061,-0.061
"154",1981-08-11,-0.0301511371787817,0.84,-0.63,-0.1,0.061,-0.0911511371787817
"155",1981-08-12,-0.0206179538702913,-0.24,0.35,0.24,0.061,-0.0816179538702913
"156",1981-08-13,-0.0317465907927294,0.06,0.05,-0.28,0.061,-0.0927465907927294
"157",1981-08-14,-0.0162594152883231,-0.69,0.57,0.12,0.061,-0.0772594152883231
"158",1981-08-17,-0.0333442209479273,-1.02,0.04,0.6,0.061,-0.0943442209479273
"159",1981-08-18,-0.0228567335461604,-1.11,-0.17,0.7,0.061,-0.0838567335461604
"160",1981-08-19,-0.0116273110900736,0.19,-0.19,-0.28,0.061,-0.0726273110900736
"161",1981-08-20,0.0116273110900737,0.15,0.1,-0.2,0.061,-0.0493726889099263
"162",1981-08-21,-0.0718825971957984,-1.03,0.37,0.89,0.061,-0.132882597195798
"163",1981-08-24,-0.0641319730368867,-2.97,0.07,1.79,0.061,-0.125131973036887
"164",1981-08-25,0.0261553100943754,-0.53,-1.07,-0.13,0.061,-0.0348446899056246
"165",1981-08-26,-0.0195550164448431,-0.12,-0.07,0.2,0.061,-0.0805550164448431
"166",1981-08-27,0.00655701526722051,-1.08,0.28,0.81,0.061,-0.0544429847327795
"167",1981-08-28,0.0509746641201338,0.41,-0.19,-0.03,0.061,-0.0100253358798662
"168",1981-08-31,0,-1.15,0.05,0.88,0.061,-0.061
"169",1981-09-01,0.0602552861057249,0.13,-0.51,-0.11,0.059,0.0012552861057249
"170",1981-09-02,0.0173906586205302,0.26,0.05,-0.16,0.059,-0.0416093413794698
"171",1981-09-03,-0.0531064547792748,-1.92,0.25,1.2,0.059,-0.112106454779275
"172",1981-09-04,-0.0121944735412479,-1.04,0.01,0.4,0.059,-0.0711944735412479
"173",1981-09-08,-0.0311530803433449,-1.96,-0.8,1.08,0.059,-0.0901530803433449
"174",1981-09-09,0,0.25,-0.29,-0.2,0.059,-0.059
"175",1981-09-10,0.00630874120350476,1.49,0.01,-0.74,0.059,-0.0526912587964952
"176",1981-09-11,-0.0126575354404915,1.15,-0.04,-0.26,0.059,-0.0716575354404915
"177",1981-09-14,-0.0323748212127549,-0.78,0.69,-0.03,0.059,-0.0913748212127549
"178",1981-09-15,-0.0266666539032612,-0.59,0.48,0.39,0.059,-0.0856666539032612
"179",1981-09-16,-0.0204772787770841,-0.84,-0.27,1.09,0.059,-0.0794772787770841
"180",1981-09-17,-0.0279720990442315,-1.49,0.14,1.31,0.059,-0.0869720990442315
"181",1981-09-18,0.00706671971504774,-0.92,-0.27,0.76,0.059,-0.0519332802849523
"182",1981-09-21,0.00701713140925932,0.54,-0.82,0.26,0.059,-0.0519828685907407
"183",1981-09-22,-0.0575661387956728,-0.52,0.17,0.47,0.059,-0.116566138795673
"184",1981-09-23,-0.0224713474392633,-1.22,-0.9,0.91,0.059,-0.0814713474392633
"185",1981-09-24,-0.00760408122867726,-0.4,0.25,0.23,0.059,-0.0666040812286773
"186",1981-09-25,-0.139004394551202,-2.4,-1.2,1.8,0.059,-0.198004394551202
"187",1981-09-28,0.00873313320979117,1.93,-1.8,-1.62,0.059,-0.0502668667902088
"188",1981-09-29,0.0508553264581932,0.85,1.54,-1.26,0.059,-0.0081446735418068
"189",1981-09-30,0.00823001356302541,0.26,0.52,-0.34,0.059,-0.0507699864369746
"190",1981-10-01,0,0.66,0.03,-0.83,0.054,-0.054
"191",1981-10-02,0.0787900025488698,1.97,-0.18,-0.97,0.054,0.0247900025488698
"192",1981-10-05,0.0298509667204944,0.31,0.6,-0.23,0.054,-0.0241490332795056
"193",1981-10-06,-0.00737961928123111,-0.14,0.32,-0.93,0.054,-0.0613796192812311
"194",1981-10-07,0.0575661387956728,1.55,-0.05,-0.8,0.054,0.0035661387956728
"195",1981-10-08,0.0343655266970084,0.88,0.39,-0.66,0.054,-0.0196344733029916
"196",1981-10-09,0.00673362586750334,-0.51,0.59,0.87,0.054,-0.0472663741324967
"197",1981-10-12,0.0330159804123469,-0.21,0.31,0.28,0.054,-0.0209840195876531
"198",1981-10-13,0,-0.22,0.49,-0.09,0.054,-0.054
"199",1981-10-14,-0.0602268850569343,-1.58,0.41,1,0.054,-0.114226885056934
"200",1981-10-15,0.0204772787770842,0.55,-0.4,-0.15,0.054,-0.0335227212229158
"201",1981-10-16,-0.0136048227307802,-0.36,0.35,0.32,0.054,-0.0676048227307802
"202",1981-10-19,0.0203384485982836,-0.21,-0.16,0.26,0.054,-0.0336615514017164
"203",1981-10-20,0.0523078492485128,0.95,-0.35,-0.6,0.054,-0.0016921507514872
"204",1981-10-21,0,-0.12,0.42,-0.48,0.054,-0.054
"205",1981-10-22,-0.00638935910034576,-0.37,0.06,0,0.054,-0.0603893591003458
"206",1981-10-23,-0.0259854621124091,-0.8,0.42,0.1,0.054,-0.0799854621124091
"207",1981-10-26,0,-0.45,-0.15,-0.12,0.054,-0.054
"208",1981-10-27,0.019555016444843,0.94,-0.18,-0.52,0.054,-0.034444983555157
"209",1981-10-28,0.0317465305819312,0.22,0.21,-0.2,0.054,-0.0222534694180688
"210",1981-10-29,-0.0125779315770326,-0.38,0.08,0.03,0.054,-0.0665779315770326
"211",1981-10-30,0.0125779315770326,2.15,-1.19,-0.23,0.054,-0.0414220684229674
"212",1981-11-02,0,1.89,-0.49,-1.36,0.053,-0.053
"213",1981-11-03,-0.0125779315770326,0.44,0.2,-0.14,0.053,-0.0655779315770326
"214",1981-11-04,-0.0256406630731526,0.13,0.15,0.06,0.053,-0.0786406630731526
"215",1981-11-05,-0.0741151329768586,-0.7,0.57,0.63,0.053,-0.127115132976859
"216",1981-11-06,0.00696823419497943,-0.51,0.28,0.48,0.053,-0.0460317658050206
"217",1981-11-09,0.0137924697712487,0.35,-0.62,0.73,0.053,-0.0392075302287513
"218",1981-11-10,0.00682554758715329,-0.4,0.4,0.64,0.053,-0.0461744524128467
"219",1981-11-11,0.0268456353973557,0.12,-0.23,0.48,0.053,-0.0261543646026443
"220",1981-11-12,0.0325857557619414,0.21,0.11,0.51,0.053,-0.0204142442380586
"221",1981-11-13,-0.0731293947927544,-1.16,0.62,1.12,0.053,-0.126129394792754
"222",1981-11-16,-0.0138882479199243,-1.31,-0.28,1.08,0.053,-0.0668882479199243
"223",1981-11-17,0.0207607039662281,0.51,-0.67,0.07,0.053,-0.0322392960337719
"224",1981-11-18,0.0336711829845091,-0.45,0.38,0.4,0.053,-0.0193288170154909
"225",1981-11-19,0,0.42,-0.44,-0.55,0.053,-0.053
"226",1981-11-20,0.00660029364953233,0.87,-0.17,-0.51,0.053,-0.0463997063504677
"227",1981-11-23,-0.0471439326803453,-0.1,0.1,-0.42,0.053,-0.100143932680345
"228",1981-11-24,-0.00692001372494489,1.21,-0.78,-0.2,0.053,-0.0599200137249449
"229",1981-11-25,0.0206180173584022,0.34,0.15,-0.04,0.053,-0.0323819826415978
"230",1981-11-27,0.0268456353973557,0.7,-0.06,-0.37,0.053,-0.0261543646026443
"231",1981-11-30,-0.0133327343862255,0.79,-0.28,-0.86,0.053,-0.0663327343862255
"232",1981-12-01,0,-0.23,0.18,0.1,0.04,-0.04
"233",1981-12-02,0.00668858725431197,-1.01,0.62,0.27,0.04,-0.033311412745688
"234",1981-12-03,-0.0134222131218152,0.31,-0.44,-0.16,0.04,-0.0534222131218152
"235",1981-12-04,0.0266666539032612,0.65,-0.22,-0.1,0.04,-0.0133333460967388
"236",1981-12-07,0.00655701526722051,-0.78,0.16,0.4,0.04,-0.0334429847327795
"237",1981-12-08,-0.0198014560486663,-0.48,-0.33,0.13,0.04,-0.0598014560486663
"238",1981-12-09,0.00664414713191361,0.46,-0.27,-0.51,0.04,-0.0333558528680864
"239",1981-12-10,0,0.14,0.15,-0.02,0.04,-0.04
"240",1981-12-11,-0.00664414713191361,-0.57,0.46,-0.04,0.04,-0.0466441471319136
"241",1981-12-14,-0.0338994918988994,-1.59,0.17,0.63,0.04,-0.0738994918988994
"242",1981-12-15,0.0272109046445875,0.04,0.05,0.02,0.04,-0.0127890953554125
"243",1981-12-16,0.045918490148167,-0.37,0.38,-0.12,0.04,0.005918490148167
"244",1981-12-17,0.0800374059104351,0.4,-0.16,-0.64,0.04,0.0400374059104351
"245",1981-12-18,0.0795923630543965,0.63,-0.14,-0.4,0.04,0.0395923630543965
"246",1981-12-21,-0.044707285358936,-0.47,0.05,0.37,0.04,-0.084707285358936
"247",1981-12-22,0.0169965408597659,-0.39,0.08,0.39,0.04,-0.0230034591402341
"248",1981-12-23,-0.0227268624644612,-0.4,0.28,0.19,0.04,-0.0627268624644612
"249",1981-12-24,0.00573032160469526,0.21,-0.01,-0.14,0.04,-0.0342696783953047
"250",1981-12-28,-0.0467892182700227,-0.27,-0.08,0.29,0.04,-0.0867892182700227
"251",1981-12-29,0.0178034884585872,-0.56,-0.03,0.42,0.04,-0.0221965115414128
"252",1981-12-30,0.0403487942224441,0.34,-0.12,-0.11,0.04,0.000348794222444097
"253",1981-12-31,0,0.31,0.43,-0.2,0.04,-0.04
"254",1982-01-04,-0.00566539238823469,0.16,-0.02,0.58,0.04,-0.0456653923882347
"255",1982-01-05,-0.0524868902927967,-2.03,0.65,1.48,0.04,-0.0924868902927967
