HDI_group;Country;HDI;LifExp;Educ;GNIpc;Pop;PopUrbRat;PopL5;PopB1564;PopG65;DepRatB014;DepRatG65;FertRat;EmpRat;LFPRat;EmpAgrRat;EmpServRat;UnempRat;UnempRatB1524;NINIsRatB1524;HiSkLoSkEmpRat
2;Iraq;0.6888;70.4540;7.3160;15364.9557;38.4336;70.5000;5.4044;22.4029;1.2774;65.8550;5.7020;3.6820;39.2000;42.6000;18.9000;57.7000;7.9000;16.6000;;1.2951
2;Morocco;0.6764;76.4530;5.5140;7479.5921;36.0291;62.5000;3.4325;23.7002;2.5267;41.3590;10.6610;2.4200;41.3000;45.4000;38.1000;40.3000;9.0000;21.9000;;0.4509
2;Kyrgyzstan;0.6742;71.3210;10.8804;3316.7933;6.3040;36.4000;0.7877;3.9813;0.2833;51.2240;7.1170;3.0000;57.2000;61.6000;26.5000;51.3000;7.2000;15.0000;21.0200;0.6797
2;Guyana;0.6703;69.7740;8.4668;7615.4167;0.7790;26.6000;0.0757;0.5090;0.0502;43.1840;9.8730;2.4728;50.5000;57.4000;18.5000;55.9000;12.2000;22.6000;35.2000;0.8276
2;El Salvador;0.6667;73.0960;6.9428;6973.4580;6.4207;72.0000;0.5776;4.1466;0.5321;42.0130;12.8320;2.0529;58.3000;61.0000;18.5000;59.7000;4.4000;9.8000;28.4000;0.4086
2;Tajikistan;0.6560;70.8790;10.6717;3482.3787;9.1008;27.1000;1.3292;5.4781;0.2750;61.1100;5.0200;3.6075;38.9000;43.6000;51.1000;32.2000;10.9000;20.6000;;0.9429
2;Cabo Verde;0.6507;72.7820;6.2446;6513.4908;0.5438;65.7000;0.0534;0.3622;0.0251;43.2010;6.9200;2.2885;60.6000;69.1000;13.5000;64.6000;12.3000;23.1000;31.4000;0.5079
2;Guatemala;0.6510;74.0630;6.4679;7377.9158;17.2478;51.1000;2.0490;10.4785;0.8300;56.6810;7.9210;2.8989;60.6000;62.3000;29.3000;50.0000;2.7000;5.7000;27.2600;0.3042
2;Nicaragua;0.6511;74.2750;6.7960;4789.8401;6.4655;58.5000;0.6644;4.1735;0.3393;46.7870;8.1290;2.4200;63.7000;66.7000;31.0000;52.3000;4.5000;8.6000;1.4200;0.3901
2;India;0.6469;69.4160;6.4521;6828.6015;1352.6423;34.0000;116.3794;903.1152;83.5927;40.5190;9.2560;2.2402;50.6000;51.9000;43.9000;31.5000;2.6000;10.4000;;0.4999
2;Namibia;0.6450;63.3730;6.9400;9682.6618;2.4483;50.0000;0.3322;1.4556;0.0890;62.0820;6.1160;3.4153;46.8000;60.8000;19.7000;61.0000;23.1000;44.4000;31.7600;0.6550
2;Timor-Leste;0.6259;69.2600;4.5379;7526.6588;1.2680;30.6000;0.1692;0.7342;0.0547;65.2480;7.4550;4.1000;37.8000;39.0000;50.0000;40.5000;3.0000;10.5000;20.9500;0.8205
2;Honduras;0.6230;75.0880;6.5964;4258.3450;9.5875;57.1000;1.0028;6.0946;0.4497;49.9320;7.3790;2.4872;62.6000;65.2000;31.9000;47.6000;4.1000;7.9000;27.7200;0.4780
2;Kiribati;0.6232;68.1160;7.8655;3917.4330;0.1158;54.1000;0.0146;0.0701;0.0046;58.7370;6.5320;3.5836;;;;;;;46.8900;1.2000
2;Bhutan;0.6173;71.4600;3.1376;8609.1154;0.7544;40.9000;0.0628;0.5147;0.0453;37.7740;8.7990;2.0000;65.5000;67.0000;56.8000;33.5000;2.2000;9.6000;;4.0833
2;Bangladesh;0.6137;72.3200;6.0618;4057.2502;161.3767;36.6000;14.5166;108.3412;8.3244;41.2690;7.6840;2.0520;56.2000;58.7000;40.2000;39.4000;4.3000;12.0000;27.3900;0.4843
2;Micronesia;0.6142;67.7550;7.7174;3700.0969;0.1126;22.7000;0.0121;0.0724;0.0045;49.3140;6.2160;3.0763;;;;;;;23.6900;1.7500
2;Sao Tome and Principe;0.6086;70.1700;6.4368;3024.4308;0.2110;72.8000;0.0314;0.1151;0.0062;77.9400;5.3630;4.3500;51.6000;59.5000;23.7000;58.5000;13.3000;20.3000;;0.8889
2;Congo;0.6085;64.2900;6.5023;5803.8835;5.2444;66.9000;0.8049;2.9135;0.1406;75.1750;4.8270;4.4500;62.1000;69.2000;35.8000;41.9000;10.4000;22.8000;;
2;Eswatini;0.6081;59.4010;6.7478;9359.1127;1.1363;23.8000;0.1426;0.6576;0.0456;65.8550;6.9370;3.0257;41.1000;53.0000;13.0000;62.5000;22.5000;44.2000;35.4600;1.0000
2;Lao;0.6041;67.6100;5.2020;6316.5209;7.0615;35.0000;0.7879;4.4714;0.2878;51.4900;6.4360;2.7000;77.7000;78.2000;68.0000;22.9000;0.6000;1.6000;42.0800;2.7704
2;Vanuatu;0.5968;70.3230;6.8400;2807.8602;0.2927;25.3000;0.0403;0.1683;0.0107;67.5480;6.3290;3.8000;66.7000;70.5000;61.1000;32.3000;5.4000;10.9000;;0.7692
2;Ghana;0.5957;63.7800;7.1840;4098.8603;29.7671;56.1000;4.1040;17.6623;0.9135;63.3620;5.1720;3.8928;63.0000;67.5000;33.9000;47.5000;6.7000;13.7000;30.4600;2.1202
