Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1933-10-31,9.55,0.45,0.435,13.2,3.1675000000000004,188.44537500000007,8.879625000000003,8.583637500000002,11.696253568143694
1933-09-30,10.58,0.455,0.4325,13.2,3.1833333333333336,208.76985000000005,8.978287500000002,8.534306250000002,12.922920614885992
1933-08-31,10.67,0.46,0.43,13.2,3.1991666666666667,210.54577500000008,9.076950000000004,8.484975000000002,12.999527050367739
1933-07-31,11.23,0.465,0.4275,13.1,3.215,223.28754732824433,9.245655343511453,8.500037977099238,13.754304493874532
1933-06-30,10.39,0.47,0.425,12.7,3.2308333333333334,213.0923551181103,9.639403937007875,8.716482283464568,13.09887551726952
1933-05-31,8.87,0.475,0.4225,12.6,3.2466666666666666,183.36190714285718,9.819267857142858,8.733980357142858,11.249651251932443
1933-04-30,6.89,0.48,0.42,12.6,3.2624999999999997,142.4310642857143,9.922628571428573,8.682300000000001,8.72310164606811
1933-03-31,6.23,0.485,0.4175,12.6,3.2783333333333333,128.78745000000004,10.025989285714287,8.630619642857145,7.874681322943167
1933-02-28,6.25,0.49,0.415,12.7,3.2941666666666674,128.183562992126,10.04959133858268,8.511388582677167,7.826051751316595
1933-01-31,7.09,0.495,0.4125,12.9,3.31,143.15699302325584,9.99474069767442,8.328950581395349,8.728046162813527
1932-12-31,6.82,0.5,0.41,13.1,3.3408333333333338,135.60294503816797,9.941564885496186,8.152083206106871,8.25707399910068
1932-11-30,7.05,0.5267,0.4267,13.2,3.3716666666666666,139.11412500000003,10.39310775,8.419857750000002,8.463309567122897
1932-10-31,7.12,0.5533,0.4433,13.3,3.4025,139.43904360902258,10.835902082706768,8.681647195488724,8.478606607689082
1932-09-30,8.26,0.58,0.46,13.4,3.4333333333333336,160.55775671641794,11.274031343283582,8.94147313432836,9.761168564063707
1932-08-31,7.53,0.6067,0.4767,13.5,3.464166666666667,145.28382000000005,11.705669800000003,9.197449800000001,8.83465320518121
1932-07-31,5.01,0.6333,0.4933,13.6,3.495,95.9521830882353,12.129045419117649,9.447746889705884,5.838763671851198
